Work item ID,Work type,Parent,Summary,Description,Priority,Status,Story Points,Labels,Sprint
1,Epic,,Descubrimiento y producto,"Problema, usuarios, visión y backlog validados.",Highest,In Progress,,epica-producto,
2,Epic,,Diseño y arquitectura,"Arquitectura, modelo de datos, UML, API y requisitos no funcionales coherentes.",Highest,In Progress,,epica-arquitectura,
3,Epic,,Seguridad y plataforma,"Autenticación, autorización por rol, Docker e integración continua.",Highest,To Do,,epica-seguridad,
4,Epic,,Gestión escolar,"Establecimiento, cursos, estudiantes, apoderados, matrículas, evaluaciones y notas.",Highest,To Do,,epica-gestion-escolar,
5,Epic,,Asistencia y alertas,"Registro de asistencia, reglas explicables y bandeja de alertas.",High,To Do,,epica-alertas,
6,Epic,,Seguimiento,"Casos, intervenciones, ficha integral y avisos.",High,To Do,,epica-seguimiento,
7,Epic,,Analítica y auditoría,"Indicadores, reportes y trazabilidad de cambios sensibles.",Medium,To Do,,epica-analitica,
8,Epic,,Calidad y cierre,"Pruebas, manuales, despliegue, entrega y defensa.",Highest,To Do,,epica-cierre,
101,Story,1,PB-001 Validar problema usuarios y restricciones,"Confirmar el problema escolar, los usuarios y las restricciones del proyecto.",Highest,In Progress,5,sprint-0,Sprint 0
102,Story,1,PB-002 Product Vision y cuatro pilares,"Definir y validar la visión del producto y sus cuatro pilares.",Highest,In Progress,3,sprint-0,Sprint 0
103,Story,1,PB-003 Backlog priorizado y estimado,"Mantener un backlog ordenado, estimado y trazable.",Highest,In Progress,5,sprint-0,Sprint 0
104,Story,1,PB-004 Definition of Done,"Acordar las condiciones mínimas para considerar terminado un trabajo.",Highest,In Progress,2,sprint-0,Sprint 0
105,Story,1,PB-005 Repositorio README y trazabilidad,"Disponer de repositorio, instrucciones y evidencias enlazadas.",Highest,In Progress,3,sprint-0,Sprint 0
106,Story,2,PB-006 Arquitectura y decisiones técnicas,"Definir componentes, responsabilidades e integraciones del sistema.",Highest,In Progress,5,sprint-1,Sprint 1
107,Story,2,PB-007 Modelo ER y diccionario de datos,"Modelar la información escolar y documentar entidades y campos.",Highest,In Progress,5,sprint-1,Sprint 1
108,Story,2,PB-008 Prototipo navegable validado,"Demostrar las vistas de profesor y estudiante y registrar validación.",Highest,In Progress,5,sprint-1,Sprint 1
109,Story,2,PB-009 UML de flujos principales,"Documentar actores, casos de uso y secuencias principales.",Highest,In Progress,5,sprint-1,Sprint 1
110,Story,2,PB-010 Entrega y presentación Fase 1,"Preparar entrega, feedback y ensayo de la primera fase.",Highest,In Progress,5,sprint-1,Sprint 1
111,Story,3,PB-011 Autenticación segura,"Como usuario de SIGAA quiero iniciar una sesión segura para acceder solamente a mi información.",Highest,To Do,8,sprint-3,Sprint 3
112,Story,3,PB-012 Roles y permisos,"Como establecimiento quiero restringir acciones por rol y alcance para proteger los datos escolares.",Highest,To Do,8,sprint-3,Sprint 3
113,Story,4,PB-013 Estructura escolar,"Persistir establecimiento, año, niveles, cursos y asignaturas.",Highest,In Progress,8,sprint-2,Sprint 2
114,Story,3,PB-014 Entorno Docker reproducible,"Permitir ejecución consistente de web, API y base de datos.",Highest,In Progress,5,sprint-2,Sprint 2
115,Story,4,PB-015 Gestión de estudiantes,"Como personal autorizado quiero crear y actualizar estudiantes para mantener registros vigentes.",Highest,To Do,8,sprint-3,Sprint 3
116,Story,4,PB-016 Matrículas,"Como encargado académico quiero matricular un estudiante en un curso y periodo.",Highest,To Do,5,sprint-3,Sprint 3
117,Story,4,PB-017 Evaluaciones y calificaciones,"Permitir al profesor crear evaluaciones y registrar calificaciones.",Highest,To Do,8,sprint-3,Sprint 3
118,Story,4,PB-018 Importación validada,"Importar datos escolares con validación y reporte de errores.",Medium,To Do,5,sprint-3,Sprint 3
119,Story,5,PB-019 Registro de asistencia,"Permitir al profesor registrar asistencia de sus cursos.",Highest,To Do,8,sprint-4,Sprint 4
